"Company","Website","Contact email or form URL","Observable homepage issue","Source URLs"
"Juma (team-gpt.com redirect)","https://juma.ai/","humans@juma.ai; https://juma.ai/contact-form","Old Team-GPT URL redirects to new Juma brand, while hero H1 is vague: “What can your team get done today?”; teardown angle: clarify brand transition and primary outcome above the fold.","https://team-gpt.com; https://juma.ai/; https://juma.ai/contact-form"
"Promptitude","https://www.promptitude.io/","https://www.promptitude.io/book-a-demo","Hero uses broad/generic H1 “AI for Teams, Made Easy” and even has multiple H1s; teardown angle: make ICP/use case and conversion path more concrete.","https://www.promptitude.io/; https://www.promptitude.io/book-a-demo"
"tl;dv","https://tldv.io/","https://tldv.io/contact-sales?utm_source=landing-header","Homepage renders two above-fold H1 messages (“AI Meeting notes...” and “tl;dv turns...”); teardown angle: consolidate one promise and one dominant CTA.","https://tldv.io/; https://tldv.io/contact-sales?utm_source=landing-header"
"Sembly AI","https://www.sembly.ai/","info@sembly.ai; https://www.sembly.ai/form/","Hero says “Turn conversations into client-ready deliverables,” but product category/for-whom requires context; teardown angle: sharpen ICP and value proof above fold.","https://www.sembly.ai/; https://www.sembly.ai/form/"
"Reclaim.ai","https://reclaim.ai/","https://reclaim.ai/contact","Hero claims “#1 AI calendar for work” while title says work & life; teardown angle: reduce audience ambiguity and align B2B conversion path.","https://reclaim.ai/; https://reclaim.ai/contact"
"Taskade","https://www.taskade.com/","support@taskade.com; https://www.taskade.com/contact","Hero H1 is very long and stacks apps, agents, workflows, workspace in one sentence; teardown angle: simplify messaging hierarchy and CTA intent.","https://www.taskade.com/; https://www.taskade.com/contact"
"Rows","https://rows.com/product","support@rows.com","Root homepage redirects to /product; H1 is split (“Your new AI” / “Data Analyst”), which may weaken scanability and SEO clarity.","https://rows.com; https://rows.com/product; mailto:support@rows.com"
"Polymer Search","https://www.polymersearch.com/","https://www.polymersearch.com/contact; https://www.polymersearch.com/demo","Hero “Unleash Analytics. Supercharge Your Product.” is buzzword-heavy; teardown angle: state embedded analytics buyer, use case, and proof faster.","https://www.polymersearch.com/; https://www.polymersearch.com/contact; https://www.polymersearch.com/demo"
"Akkio","https://www.akkio.com/","https://www.akkio.com/booking","Homepage H1 narrows to campaign workflows while title says broader AI workflow automation; teardown angle: clarify category and why marketers should book.","https://www.akkio.com/; https://www.akkio.com/booking"
"Sheetgo","https://www.sheetgo.com/","https://www.sheetgo.com/contact-sales/","Hero “Make your data AI ready” is abstract; teardown angle: make the before/after workflow and target team visible above fold.","https://www.sheetgo.com/; https://www.sheetgo.com/contact-sales/; https://www.sheetgo.com/contact-support/"
"Whalesync","https://www.whalesync.com/","hello@whalesync.com","Hero “Control your apps from a spreadsheet” is concise but undersells two-way sync/data ops outcome; teardown angle: foreground integrations and business result before scroll.","https://www.whalesync.com/; mailto:hello@whalesync.com; https://docs.whalesync.com/resources/support"
"Bardeen","https://www.bardeen.ai/","https://support.bardeen.ai/hc/en-us/requests/new","Hero focuses on lead finding, but homepage navigation/content spans many verticals (real estate, music, etc.); teardown angle: reduce ICP diffusion.","https://www.bardeen.ai/; https://support.bardeen.ai/hc/en-us/requests/new"
"Relay.app","https://www.relay.app/","support+website@relay.app","Homepage renders duplicate H1s and uses emotive “you’ll love to use” instead of a measurable workflow outcome; teardown angle: clean heading structure and proof.","https://www.relay.app/; mailto:support+website@relay.app"
"Levity","https://levity.ai/en","https://levity.ai/en/demo","Hero metaphor “Don’t bolt AI onto chaos. Rewire your operations.” is memorable but not immediately literal; teardown angle: clarify logistics automation deliverable.","https://levity.ai/en; https://levity.ai/en/demo"
"Chatbase","https://www.chatbase.co/","https://www.chatbase.co/help","Hero “AI agents for magical customer experiences” is fluffy/generic in a crowded category; teardown angle: emphasize differentiator and trust proof.","https://www.chatbase.co/; https://www.chatbase.co/help"
"SiteGPT","https://sitegpt.ai/","support@sitegpt.ai; https://sitegpt.ai/contact-us","Hero “Make AI your expert customer service agent” is clear but generic versus other AI support bots; teardown angle: add specific differentiator/proof above fold.","https://sitegpt.ai/; https://sitegpt.ai/contact-us; mailto:support@sitegpt.ai"
"Wonderchat","https://wonderchat.io/","support@wonderchat.io; https://forms.wonderchat.io/sales","Homepage has two H1-level concepts (“Modernizing AI Chatbots...” and “AI Agents for Sales...”); teardown angle: pick one positioning story and one CTA.","https://wonderchat.io/; https://forms.wonderchat.io/sales; https://wonderchat.io/contact"
"TypingMind","https://www.typingmind.com/","support@typingmind.com; https://www.typingmind.com/contact","Hero “The best frontend for LLMs” targets a technical audience but lacks an immediate B2B team use-case proof; teardown angle: make buyer/use case explicit.","https://www.typingmind.com/; https://www.typingmind.com/contact"
"Fathom","https://www.fathom.ai/","https://fathomvideo.typeform.com/to/AYeoqHBS?utm_source=nav-v2","Hero “AI notetaking that is out of this world” is playful but less specific than sales/team outcomes below; teardown angle: tie headline to B2B result.","https://www.fathom.ai/; https://fathomvideo.typeform.com/to/AYeoqHBS?utm_source=nav-v2"
"Fireflies.ai","https://fireflies.ai/","support@fireflies.ai; https://fireflies.ai/#request-demo","Hero “#1 AI Assistant For Your Meetings” is broad across meetings/email/chat/CRM; teardown angle: sharpen highest-converting persona/use case.","https://fireflies.ai/; https://fireflies.ai/#request-demo; https://fireflies.ai/about-us"
